V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125
penicillin,-0.006794477,-0.005336441,-0.003730604,-0.0007780371,0.003229334,4.221347e-05,-0.005411173,-0.005250434,-0.001988554,-0.005080151,0.005747367,0.0001465155,-2.388685e-05,0.00292351,-0.0004587057,0.004439515,0.007837124,0.002777519,-0.004196609,-0.007756433,-0.003814651,0.0007513742,-0.0001165434,-0.00286322,-0.001724113,0.007508377,-0.005027291,-0.001227158,-0.002214642,0.002191271,-0.001208795,-0.0036256262,-0.0067704669,0.0012006152,0.0074719838,-0.0028180219,-0.0021252553,0.0008994669,-0.0048824931,0.0046185357,0.0006248292,0.0031108675,-0.0064730351,0.0046850853,-0.0074326014,0.0039257128,0.0046206405,0.0008705199,0.0028729755,-0.0045682751,-0.0029275746,0.0053892732,-0.0012590984,0.0072276364,-0.0002013121,-0.0058457367,0.0071998709,-0.0053018685,-0.0030157119,0.0066434382,0.0028088717,0.005081838,-0.0034291279,-0.0037020796,0.0070411763,-0.0047624814,-0.0007472555,0.007938019,-0.0062609459,-0.0034822689,0.0054730345,-0.0036111621,-0.0043331385,0.0078979461,0.003609081,-0.0019633821,0.002823754,-0.0039983219,-0.0061857612,-0.0055886139,-0.0043141749,-0.0032472562,0.004004701,0.004475005,0.0006281382,-0.0005891841,0.0035725557,0.0072412081,-0.002139962,0.0043023112,0.0035251626,0.0012256209,0.0030391677,0.0036867831,0.0077760285,0.003469323,0.0044264887,-0.0070521287,-0.0037796418,-0.0063794293,-0.0015725447,-0.0036319459,2.0690477e-05,-0.0010274971,0.0066596535,0.0069362638,0.0028732424,0.0035440887,0.0037081463,-0.0068762815,0.00010358605,-0.0035435536,-0.0025466227,-0.0048620426,-0.00206546,0.0067296582,-0.0030858959,0.0070335539,-0.0062282928,-0.0049506137,0.0051235869,-0.0049890992,0.0074127023,0.0052022962
erythromycin,-0.008343719,-0.006553227,-0.004581238,-0.0009554413,0.003965671,5.183879e-05,-0.006645001,-0.006447611,-0.002441975,-0.006238503,0.007057856,0.0001799232,-2.933341e-05,0.003590115,-0.0005632978,0.005451789,0.009624104,0.003410836,-0.005153497,-0.009525016,-0.00468445,0.0009226988,-0.000143117,-0.003516078,-0.002117237,0.009220397,-0.006173586,-0.001506968,-0.002719613,0.002690913,-0.001484418,-0.0044523235,-0.0083142361,0.001474373,0.0091757067,-0.003460573,-0.0026098457,0.0011045585,-0.0059957751,0.0056716301,0.0007672996,0.0038201928,-0.0079489853,0.0057533556,-0.0091273459,0.0048208325,0.005674216,0.0010690114,0.0035280553,-0.0056099133,-0.0035951065,0.0066181086,-0.0015461922,0.0088756466,-0.0002472143,-0.0071786535,0.0088415481,-0.0065107718,-0.003703339,0.0081582423,0.0034493364,0.0062405742,-0.0042110211,-0.0045462097,0.0086466689,-0.0058483994,-0.0009176413,0.0097480053,-0.0076885358,-0.004276278,0.0067209681,-0.0044345637,-0.0053211576,0.0096988035,0.0044320049,-0.0024110626,0.0034676115,-0.0049100006,-0.0075962087,-0.0068629016,-0.0052978713,-0.0039876788,0.0049178312,0.005495376,0.0007713632,-0.000723527,0.0043871514,0.0088923136,-0.0026279057,0.0052833064,0.0043289522,0.0015050806,0.0037321444,0.0045274259,0.0095490776,0.0042603812,0.0054357941,-0.008660119,-0.0046414565,-0.007834034,-0.0019311089,-0.0044600847,2.5408215e-05,-0.0012617821,0.0081781512,0.0085178325,0.0035283843,0.0043521938,0.0045536594,-0.008444177,0.00012720523,-0.0043515363,-0.0031272897,-0.0059706629,-0.0025364158,0.0082641207,-0.0037895262,0.00863731,-0.0076484354,-0.0060794279,0.006291843,-0.0061266897,0.0091029098,0.0063884999
piperacillin-tazobactam,-0.007815466,-0.006138332,-0.00429119,-0.0008949506,0.003714597,4.855676e-05,-0.006224296,-0.006039403,-0.002287369,-0.005843532,0.006611009,0.0001685321,-2.747625e-05,0.003362817,-0.0005276344,0.00510663,0.009014784,0.003194889,-0.004827224,-0.008921969,-0.004387869,0.000864281,-0.000134056,-0.003293466,-0.001983191,0.008636638,-0.005782727,-0.001411559,-0.002547429,0.002520548,-0.001390437,-0.0041704392,-0.0077878484,0.0013810277,0.0085947784,-0.0032414782,-0.0024446112,0.0010346274,-0.0056161708,0.0053125476,0.0007187203,0.0035783288,-0.0074457205,0.0053890999,-0.008549476,0.0045156181,0.0053149709,0.0010013304,0.0033046883,-0.005254738,-0.0033674925,0.0061991075,-0.0014482997,0.0083137136,-0.0002315628,-0.0067241611,0.0082817748,-0.0060985642,-0.0034688739,0.007641728,0.0032309536,0.0058454704,-0.0039444128,-0.0042583803,0.0080992347,-0.0054781251,-0.0008595433,0.0091308383,-0.0072017582,-0.0040055397,0.0062954519,-0.0041538021,-0.0049842689,0.0090847518,0.004151409,-0.0022584135,0.0032480715,-0.0045991405,-0.0071152789,-0.0064283991,-0.0049624532,-0.003735211,0.004606477,0.0051474525,0.0007225267,-0.0006777191,0.0041093938,0.0083293235,-0.0024615282,0.0049488116,0.0040548784,0.0014097909,0.0034958576,0.0042407857,0.0089445123,0.0039906492,0.0050916434,-0.0081118327,-0.0043475982,-0.0073380484,-0.0018088466,-0.0041777072,2.3799581e-05,-0.0011818962,0.007660382,0.0079785557,0.0033049963,0.0040766466,0.0042653591,-0.0079095596,0.00011915166,-0.0040760338,-0.0029292973,-0.0055926484,-0.0023758316,0.0077409041,-0.0035496044,0.0080904653,-0.0071641998,-0.005694529,0.0058934954,-0.0057387971,0.0085265888,0.0059840311
daptomycin,-0.02141708,-0.01682115,-0.01175935,-0.002452474,0.01017928,0.0001330622,-0.01705671,-0.01655005,-0.006268178,-0.01601329,0.01811645,0.0004618359,-7.529444e-05,0.009215284,-0.0014459,0.01399392,0.02470362,0.008755104,-0.01322826,-0.02444928,-0.01202428,0.002368426,-0.0003673598,-0.00902524,-0.005434628,0.02366737,-0.01584668,-0.003868159,-0.006980831,0.006907168,-0.003810276,-0.0114284484,-0.0213413872,0.0037844933,0.0235526431,-0.0088827722,-0.0066990773,0.0028352363,-0.0153902415,0.0145582194,0.0019695433,0.0098058591,-0.020403849,0.014767996,-0.0234285146,0.0123743564,0.0145648653,0.0027439927,0.009055987,-0.0143997995,-0.0092280954,0.0169876907,-0.00396884,0.0227824468,-0.0006345616,-0.0184265245,0.0226949248,-0.0167121701,-0.0095059127,0.0209409762,0.0088539263,0.0160186123,-0.010809055,-0.011669437,0.022194702,-0.015011949,-0.002355446,0.025021657,-0.019735301,-0.01097656,0.017251708,-0.01138285,-0.013658608,0.024895361,0.011376293,-0.006188838,0.008900832,-0.012603232,-0.01949833,-0.017616024,-0.013598832,-0.010235773,0.01262334,0.014105793,0.001979973,-0.001857186,0.011261158,0.022825215,-0.006745433,0.013561442,0.011111771,0.003863317,0.009579851,0.0116212238,0.024511043,0.0109357573,0.0139528755,-0.0222292244,-0.0119139226,-0.0201087911,-0.00495686522,-0.0114483666,6.52191084e-05,-0.00323880697,0.0209920835,0.0218640137,0.00905683078,0.0111714276,0.0116885584,-0.0216749329,0.000326516689,-0.0111697353,-0.00802728441,-0.0153257875,-0.00651059859,0.021212751,-0.00972713996,0.0221706666,-0.0196323954,-0.0156049822,0.0161502212,-0.0157262962,0.0233658124,0.0163983069
linezolid,-0.006789001,-0.005332138,-0.003727598,-0.0007774103,0.003226731,4.217944e-05,-0.005406811,-0.005246202,-0.001986952,-0.005076057,0.005742736,0.0001463975,-2.386759e-05,0.002921153,-0.0004583361,0.004435937,0.007830807,0.00277528,-0.004193227,-0.00775018,-0.003811577,0.0007507685,-0.0001164494,-0.002860913,-0.001722723,0.007502324,-0.005023238,-0.001226168,-0.002212857,0.002189505,-0.001207821,-0.003622704,-0.0067650112,0.0011996469,0.0074659623,-0.0028157504,-0.0021235424,0.0008987417,-0.0048785573,0.0046148128,0.0006243254,0.0031083599,-0.0064678178,0.0046813088,-0.0074266107,0.0039225486,0.0046169157,0.0008698183,0.0028706593,-0.0045645949,-0.0029252151,0.0053849299,-0.0012580836,0.0072218101,-0.0002011499,-0.0058410256,0.0071940678,-0.0052975938,-0.0030132812,0.0066380845,0.0028066081,0.005077743,-0.0034263639,-0.0036990957,0.0070355004,-0.0047586435,-0.0007466529,0.0079316217,-0.0062558996,-0.0034794617,0.0054686228,-0.0036082517,-0.0043296465,0.0078915814,0.0036061723,-0.0019617998,0.0028214778,-0.0039950996,-0.0061807763,-0.0055841096,-0.0043106982,-0.0032446384,0.0040014735,0.0044713984,0.0006276319,-0.0005887092,0.0035696761,0.0072353706,-0.0021382372,0.0042988453,0.0035223204,0.0012246328,0.0030367195,0.0036838118,0.0077697597,0.0034665267,0.0044229198,-0.0070464443,-0.0037765955,-0.0063742874,-0.0015712777,-0.0036290186,2.0673802e-05,-0.0010266691,0.0066542863,0.006930673,0.0028709257,0.0035412321,0.0037051565,-0.0068707378,0.00010350256,-0.0035406973,-0.0025445698,-0.0048581241,-0.0020637948,0.0067242333,-0.0030834095,0.0070278845,-0.0062232711,-0.0049466225,0.0051194583,-0.0049850782,0.0074067293,0.0051981048
cefuroxime,-0.006766133,-0.005314179,-0.003715042,-0.0007747918,0.003215862,4.203736e-05,-0.0053886,-0.005228532,-0.001980259,-0.00505896,0.005723394,0.0001459043,-2.37872e-05,0.002911315,-0.0004567923,0.004420995,0.007804431,0.002765932,-0.004179102,-0.007724078,-0.003798738,0.0007482396,-0.0001160572,-0.002851275,-0.001716921,0.007477056,-0.005006318,-0.001222039,-0.002205403,0.002182131,-0.001203752,-0.0036105022,-0.0067422255,0.0011956063,0.0074408138,-0.0028062665,-0.0021163896,0.0008957147,-0.0048621255,0.0045992681,0.0006222228,0.0030978904,-0.0064460342,0.0046655415,-0.0074015968,0.0039093369,0.004601365,0.0008668887,0.0028609899,-0.0045492202,-0.0029153619,0.0053667915,-0.0012538462,0.0071974858,-0.0002004723,-0.0058213528,0.0071698357,-0.005279752,-0.0030031316,0.0066157244,0.0027971547,0.0050606388,-0.0034148232,-0.0036866365,0.0070118038,-0.0047426145,-0.0007441383,0.0079049068,-0.006234827,-0.003467743,0.0054502036,-0.0035960984,-0.0043150624,0.0078650024,0.003594026,-0.0019551921,0.0028119746,-0.0039816429,-0.0061599575,-0.0055653006,-0.0042961789,-0.0032337089,0.0039879964,0.0044563385,0.0006255179,-0.0005867264,0.0035576527,0.0072110007,-0.0021310344,0.0042843679,0.0035104565,0.0012205078,0.003026491,0.00367140374,0.00774359144,0.00345485122,0.00440802285,-0.00702271005,-0.00376387499,-0.00635281578,-0.00156598527,-0.00361679588,2.06041659e-05,-0.00102321105,0.00663187169,0.00690732943,0.00286125671,0.00352930371,0.00369267724,-0.0068475958,0.000103153921,-0.00352877122,-0.00253599929,-0.00484176073,-0.00205684453,0.00670158537,-0.0030730234,0.00700421352,-0.00620230986,-0.00492996117,0.00510221533,-0.00496828742,0.00738178194,0.00518059684
imipenem,-0.006710732,-0.005270667,-0.003684623,-0.0007684474,0.003189531,4.169316e-05,-0.005344477,-0.00518572,-0.001964044,-0.005017537,0.005676528,0.0001447097,-2.359243e-05,0.002887476,-0.000453052,0.004384796,0.007740529,0.002743285,-0.004144885,-0.007660832,-0.003767635,0.000742113,-0.0001151069,-0.002827929,-0.001702863,0.007415833,-0.004965327,-0.001212032,-0.002187345,0.002164264,-0.001193896,-0.0035809386,-0.006687019,0.0011858171,0.0073798876,-0.0027832882,-0.0020990609,0.0008883805,-0.0048223138,0.0045616091,0.0006171278,0.0030725251,-0.0063932524,0.0046273395,-0.0073409919,0.0038773266,0.0045636892,0.0008597904,0.0028375641,-0.0045119715,-0.0028914914,0.005322848,-0.0012435796,0.0071385531,-0.0001988308,-0.0057736863,0.0071111289,-0.0052365195,-0.0029785419,0.0065615559,0.0027742509,0.0050192019,-0.0033868626,-0.00365645,0.0069543901,-0.0047037811,-0.0007380451,0.0078401817,-0.006183777,-0.0034393487,0.0054055774,-0.0035666532,-0.0042797318,0.0078006033,0.0035645976,-0.001939183,0.0027889495,-0.0039490405,-0.0061095194,-0.0055197324,-0.0042610001,-0.0032072314,0.0039553414,0.0044198488,0.0006203962,-0.0005819222,0.0035285219,0.0071519557,-0.0021135854,0.0042492854,0.0034817129,0.0012105145,0.0030017097,0.003641342,0.0076801847,0.0034265623,0.0043719304,-0.0069652083,-0.0037330557,-0.0063007995,-0.0015531627,-0.0035871814,2.0435456e-05,-0.0010148329,0.0065775709,0.0068507711,0.0028378281,0.0035004059,0.0036624414,-0.0067915278,0.00010230931,-0.0034998779,-0.0025152341,-0.0048021153,-0.002040002,0.0066467114,-0.0030478614,0.0069468622,-0.0061515258,-0.0048895949,0.0050604371,-0.0049276068,0.0073213386,0.0051381774
rifampicin,-0.0076777,-0.00603013,-0.004215549,-0.0008791754,0.003649118,4.770085e-05,-0.006114578,-0.005932944,-0.002247049,-0.005740528,0.006494477,0.0001655613,-2.699193e-05,0.00330354,-0.0005183336,0.005016611,0.008855882,0.003138571,-0.004742131,-0.008764702,-0.004310523,0.0008490461,-0.0001316931,-0.003235413,-0.001948232,0.008484403,-0.005680794,-0.001386677,-0.002502524,0.002476118,-0.001365927,-0.0040969271,-0.0076505705,0.0013566839,0.0084432736,-0.0031843395,-0.00240152,0.0010163896,-0.0055171745,0.0052189026,0.0007060515,0.0035152535,-0.0073144739,0.0052941018,-0.008398775,0.0044360198,0.0052212849,0.0009836803,0.0032464364,-0.0051621119,-0.0033081335,0.0060898303,-0.0014227703,0.0081671663,-0.0002274809,-0.0066056317,0.0081357909,-0.0059910663,-0.0034077272,0.0075070271,0.0031740004,0.0057424316,-0.0038748849,-0.0041833166,0.0079564648,-0.0053815637,-0.0008443922,0.0089698965,-0.0070748129,-0.0039349333,0.0061844797,-0.0040805815,-0.0048964098,0.0089246109,0.0040782294,-0.0022186046,0.0031908166,-0.0045180693,-0.0069898544,-0.006315086,-0.0048749791,-0.00366937,0.0045252787,0.0050567165,0.0007097908,-0.0006657729,0.0040369579,0.0081825014,-0.0024181379,0.0048615779,0.0039834017,0.0013849406,0.0034342348,0.0041660336,0.0087868404,0.003920306,0.0050018956,-0.0079688458,-0.004270961,-0.0072086994,-0.0017769624,-0.004104068,2.3380062e-05,-0.0011610631,0.0075253481,0.0078379167,0.0032467386,0.0040047886,0.0041901721,-0.0077701346,0.00011705134,-0.0040041837,-0.0028776599,-0.0054940674,-0.0023339516,0.007604457,-0.0034870354,0.0079478575,-0.0070379162,-0.0055941502,0.0057896096,-0.0056376378,0.008376291,0.0058785491
micafungin,-0.01142465,-0.008973027,-0.006272867,-0.00130824,0.005430001,7.098034e-05,-0.00909868,-0.008828403,-0.003343678,-0.008542084,0.009663981,0.0002463602,-4.016482e-05,0.004915772,-0.0007712964,0.007464875,0.01317782,0.004670291,-0.00705644,-0.01304214,-0.006414189,0.001263406,-0.0001959633,-0.004814393,-0.00289903,0.01262505,-0.008453196,-0.002063419,-0.003723834,0.003684538,-0.002032542,-0.0060963519,-0.0113842776,0.0020187874,0.0125638526,-0.0047383956,-0.0035735357,0.0015124189,-0.0082097268,0.0077658943,0.0010506259,0.005230804,-0.0108841555,0.007877795,-0.0124976374,0.006600935,0.007769431,0.0014637457,0.0048307967,-0.0076813837,-0.004922607,0.0090618571,-0.002117126,0.0121529931,-0.0003384985,-0.0098293806,0.0121063087,-0.0089148926,-0.0050708018,0.0111706834,0.0047230087,0.0085449191,-0.0057659484,-0.0062249024,0.0118394708,-0.0080079315,-0.0012564811,0.0133474721,-0.0105275391,-0.0058553023,0.0092027029,-0.0060720313,-0.0072860052,0.0132800983,0.0060685296,-0.003301352,0.0047480343,-0.0067230272,-0.0104011241,-0.0093970355,-0.007254119,-0.0054601384,0.0067337514,0.0075245495,0.0010561901,-0.0009906902,0.0060071168,0.0121758208,-0.0035982654,0.0072341748,0.0059274244,0.0020608355,0.0051102443,0.00619918387,0.0130750965,0.00583353499,0.00744296983,-0.0118578756,-0.0063553229,-0.0107267685,-0.00264417287,-0.00610698108,3.47902533e-05,-0.00172769756,0.0111979544,0.0116630625,0.00483124657,0.0059592477,0.00623510499,-0.0115622059,0.000174175962,-0.00595835038,-0.00428204611,-0.00817534048,-0.00347299385,0.0113156606,-0.0051888139,0.0118266512,-0.0104726357,-0.00832426921,0.00861511752,-0.00838897843,0.0124641759,0.00874746498
mupirocin,-0.007125761,-0.005596633,-0.0039125,-0.0008159726,0.003386789,4.42717e-05,-0.005675009,-0.005506434,-0.002085512,-0.00532785,0.006027599,0.0001536594,-2.505152e-05,0.003066053,-0.0004810713,0.004655974,0.008219246,0.002912945,-0.004401228,-0.00813462,-0.004000646,0.0007880093,-0.0001222258,-0.003002824,-0.001808177,0.007874469,-0.005272408,-0.001286991,-0.002322622,0.002298114,-0.001267733,-0.003802404,-0.0071005807,0.0012591542,0.0078363009,-0.0029554225,-0.0022288777,0.0009433228,-0.0051205507,0.0048437235,0.0006552944,0.0032625475,-0.0067886473,0.0049135201,-0.0077950004,0.0041171224,0.0048459317,0.0009129646,0.0030130546,-0.0047910162,-0.003070317,0.0056520421,-0.0013204889,0.0075800405,-0.0002111276,-0.0061307643,0.0075509208,-0.0055603758,-0.0031627512,0.0069673588,0.0029458271,0.0053296173,-0.0035963242,-0.0038825842,0.0073844893,-0.0049946913,-0.00078369,0.0083250571,-0.0065662158,-0.0036520555,0.0057398872,-0.0037872351,-0.0045444136,0.0082830321,0.0037850521,-0.0020591121,0.0029614342,-0.0041932715,-0.0064873653,-0.0058611021,-0.0045245253,-0.0034055838,0.0041999626,0.004693198,0.0006587647,-0.0006179113,0.0037467461,0.0075942734,-0.0022443011,0.0045120851,0.0036970407,0.0012853792,0.0031873523,0.0038665424,0.008155168,0.0036384789,0.0046423143,-0.0073959772,-0.0039639287,-0.0066904752,-0.0016492188,-0.0038090325,2.1699299e-05,-0.0010775953,0.0069843647,0.0072744582,0.0030133363,0.0037168893,0.0038889467,-0.0072115534,0.00010863669,-0.0037163286,-0.0026707901,-0.0050991056,-0.0021661667,0.0070577818,-0.0032363583,0.0073764944,-0.0065319696,-0.0051919953,0.0053734034,-0.005232356,0.00777413,0.0054559503
