Distance,top_neighbours,precision,std
correlation,1,0.902100957336855,0.00774280945590952
correlation,10,0.957286243921464,0.00650048801011678
correlation,30,0.969946091644205,0.00687175353904362
correlation,5,0.946591896374545,0.00641198694417412
correlation,50,0.961894778875911,0.00831665978292201
euclidean,1,0.910588637675014,0.00689381623098433
euclidean,10,0.956819764209701,0.00687421144290924
euclidean,30,0.956139562743336,0.00840149064074453
euclidean,5,0.93158878449759,0.00776990623594296
euclidean,50,0.94952580612958,0.00943639249862743
manhattan,1,0.910372602751685,0.00736998861038171
manhattan,10,0.952397768199655,0.00726616626557484
manhattan,30,0.960094354748443,0.00798014427322202
manhattan,5,0.944330963120271,0.006954153247909
manhattan,50,0.957468969418655,0.0087552054884964
random,1,0.445051176528736,0.00298519484143756
random,10,0.678489867225716,0.00390517032304926
random,30,0.742195667365479,0.00388245275676359
random,5,0.623067916029684,0.0038276401447261
random,50,0.751809923130678,0.00389801495514338
