drug,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114,z115,z116,z117,z118,z119,z120,z121,z122,z123,z124,z125,z126,z127
5-Fluorocytosine,0.034799277782440186,-0.06785088777542114,-0.04616039991378784,0.08607813715934753,0.024821937084197998,0.016903728246688843,-0.004224300384521484,-0.00019690394401550293,0.032539043575525284,0.07707121968269348,-0.04959049075841904,0.02942436933517456,0.05722606182098389,0.00473552942276001,0.07191094011068344,-0.05156517028808594,-0.007563769817352295,0.017442047595977783,-0.010496944189071655,0.04443703591823578,-0.0360199511051178,0.029230177402496338,-0.024088189005851746,-0.04156176745891571,-0.01607614755630493,0.030643373727798462,0.047328606247901917,0.017893671989440918,0.02740919589996338,0.0049029141664505005,-0.014682650566101074,0.029574155807495117,-0.8618311285972595,0.04712100327014923,0.02276057004928589,-0.12086930871009827,0.04435865581035614,0.003920912742614746,0.03776368498802185,0.03856195509433746,-0.05860432982444763,-0.10059802234172821,-0.005303047597408295,0.026583552360534668,-0.010418474674224854,0.021457910537719727,-0.004762440919876099,0.08806103467941284,-0.037119150161743164,-0.0701378583908081,0.0006132125854492188,-0.02741168439388275,-0.07206109166145325,-0.019015222787857056,0.03784461319446564,-0.05651332437992096,0.04878148436546326,0.07366524636745453,-0.046585530042648315,0.02815939486026764,0.08225089311599731,-0.047898679971694946,-0.0323590487241745,0.009936079382896423,0.017162173986434937,0.04193776845932007,-0.030021175742149353,-0.007357299327850342,0.012373775243759155,0.031220264732837677,0.03649361431598663,-0.01916736364364624,0.08794474601745605,-0.02345290780067444,0.06713394820690155,0.031023502349853516,-0.04303911328315735,0.15019863843917847,0.05722445249557495,0.008090153336524963,0.0074621886014938354,-0.01150570809841156,0.059942349791526794,-0.08405154943466187,-0.03519207239151001,-0.012491941452026367,-0.03481411933898926,-0.0776921883225441,0.045499756932258606,-0.07773041725158691,0.007927089929580688,0.0035436898469924927,-0.07171568274497986,0.024890244007110596,-0.052690744400024414,0.04373222589492798,-0.050206273794174194,-0.03527383506298065,0.013702362775802612,-0.033222585916519165,0.012995779514312744,-0.0273953378200531,0.022828470915555954,-0.0440669059753418,-0.02222694456577301,0.08902381360530853,-0.020334795117378235,-0.04021573066711426,-0.04644554853439331,-0.009121298789978027,-0.04840707778930664,0.12104834616184235,0.044080644845962524,0.011406779289245605,0.012393921613693237,0.001476585865020752,-0.08616548031568527,0.010847285389900208,-0.017407476902008057,0.025157436728477478,0.19371256232261658,0.013754129409790039,-0.030610233545303345,0.015409544110298157,-0.07504290342330933,-0.04144451022148132,-0.003995299339294434,-0.03642342984676361
Amikacin,0.07520641386508942,-0.17983940243721008,-0.0735490620136261,0.171718567609787,0.0734090805053711,0.03088921308517456,0.040059566497802734,-0.016890108585357666,0.11652964353561401,0.18145346641540527,-0.10760501772165298,0.07847854495048523,0.13686589896678925,-0.049688905477523804,0.17954903841018677,-0.13139250874519348,-0.02621600031852722,0.022343575954437256,-0.016122490167617798,0.08636584877967834,-0.07136577367782593,0.09710776805877686,-0.05201321840286255,-0.12477544695138931,-0.029843837022781372,0.05400872230529785,0.1266385316848755,0.050650835037231445,0.06605851650238037,-0.017032288014888763,-0.08471253514289856,0.041724175214767456,-0.19196897745132446,0.1278936117887497,0.07765662670135498,-0.30586427450180054,0.09347093105316162,-0.007908865809440613,0.11756089329719543,0.0759817510843277,-0.11561457812786102,-0.23057693243026733,-0.03816282004117966,0.04438197612762451,-0.0266302227973938,0.0664387047290802,-0.039220333099365234,0.22197672724723816,-0.07027727365493774,-0.14268524944782257,0.002011537551879883,-0.0347798615694046,-0.16950316727161407,0.003287695348262787,0.07169201970100403,-0.12846018373966217,0.15237975120544434,0.1861347258090973,-0.07893452048301697,0.0561506450176239,0.17564065754413605,-0.06697721779346466,-0.10988202691078186,0.07940100133419037,-0.014657959342002869,0.11434635519981384,-0.09110472351312637,-0.0793725848197937,-0.012425661087036133,0.10879391431808472,0.04294019937515259,-0.07573391497135162,0.2009623646736145,-0.0819171816110611,0.12377507984638214,0.043049633502960205,-0.09724391996860504,0.34582602977752686,0.119222491979599,-0.007618024945259094,-0.003218241035938263,-0.04247693717479706,0.14132928848266602,-0.13881513476371765,-0.08763903379440308,-0.07248574495315552,-0.0784679651260376,-0.14872479438781738,0.1225336343050003,-0.1473669558763504,0.05387398600578308,-0.04845702648162842,-0.16110539436340332,0.07396405935287476,-0.09724724292755127,0.1085067093372345,-0.1382138729095459,-0.08984726667404175,-0.013003967702388763,-0.08016255497932434,0.04512208700180054,-0.07804405689239502,0.06094527989625931,-0.09217372536659241,-0.014353260397911072,0.17328640818595886,-0.039662063121795654,-0.11845667660236359,-0.11481600999832153,-0.016029924154281616,-0.12122255563735962,0.27465420961380005,0.07566016912460327,0.03625708818435669,-0.0030368566513061523,-0.01673668622970581,-0.1790405958890915,0.008073598146438599,-0.0560295432806015,0.07477802038192749,-0.2889552712440491,0.03267514705657959,-0.11494150757789612,0.05146247148513794,-0.11038818955421448,-0.08850964903831482,-0.021450042724609375,-0.09695244580507278
Amoxicillin,0.039779603481292725,-0.11689645051956177,-0.07428950071334839,0.12734821438789368,0.042981624603271484,0.010360091924667358,0.012474238872528076,-0.007274702191352844,0.056629493832588196,0.12473487854003906,-0.08344267308712006,0.0654221773147583,0.09033447504043579,-0.009731918573379517,0.13012704253196716,-0.08609947562217712,-0.010504007339477539,0.032282739877700806,-0.016209691762924194,0.07035399973392487,-0.04108792543411255,0.047623515129089355,-0.038985103368759155,-0.07423874735832214,-0.013946563005447388,0.033832162618637085,0.08715393394231796,0.03260505199432373,0.04329100251197815,0.0028647929430007935,-0.04787394404411316,0.036337584257125854,-0.6889373064041138,0.07941019535064697,0.05117553472518921,-0.19863200187683105,0.06775499880313873,0.009957164525985718,0.07785013318061829,0.053189948201179504,-0.09267736971378326,-0.1626095026731491,-0.020456314086914062,0.03332352638244629,-0.018763571977615356,0.04906889796257019,-0.01991349458694458,0.15093857049942017,-0.05793052911758423,-0.10074926912784576,-0.007067322731018066,-0.0287083238363266,-0.12504792213439941,-0.01330498605966568,0.0690801739692688,-0.09371595084667206,0.09584152698516846,0.13330313563346863,-0.05628208816051483,0.042905330657958984,0.1329146921634674,-0.05434732139110565,-0.07027117908000946,0.04810279607772827,-0.00567317008972168,0.06706726551055908,-0.0684148520231247,-0.027639418840408325,0.0061655193567276,0.07043987512588501,0.0336788147687912,-0.051475733518600464,0.1428528130054474,-0.048959359526634216,0.08139574527740479,0.039531588554382324,-0.07509559392929077,0.2414485514163971,0.07726822793483734,0.004967682063579559,0.001165136694908142,-0.029964983463287354,0.09083299338817596,-0.11644905805587769,-0.04444003105163574,-0.04162716865539551,-0.05235585570335388,-0.12036604434251785,0.07555535435676575,-0.1161297857761383,0.019364655017852783,-0.003303512930870056,-0.11850965023040771,0.05665445327758789,-0.07600235939025879,0.07409128546714783,-0.09159648418426514,-0.05777007341384888,0.005291789770126343,-0.058200955390930176,0.03335610032081604,-0.050813257694244385,0.041390687227249146,-0.06081128120422363,-0.025405123829841614,0.12520195543766022,-0.03704047203063965,-0.07955215871334076,-0.0796884298324585,-0.003997623920440674,-0.08339861035346985,0.19377337396144867,0.050823524594306946,0.020305395126342773,0.007328540086746216,0.002835988998413086,-0.12365151941776276,0.01807279884815216,-0.03614228963851929,0.055429697036743164,0.017435848712921143,0.01988959312438965,-0.06286591291427612,0.032244712114334106,-0.08872497081756592,-0.060999795794487,-0.004201054573059082,-0.07552620768547058
Amphotericin B,0.07004812359809875,-0.1779198944568634,-0.06246480345726013,0.16114011406898499,0.07185649871826172,0.037001609802246094,0.03855559229850769,-0.013562917709350586,0.11686357855796814,0.1804969310760498,-0.10355819761753082,0.07925602793693542,0.12867039442062378,-0.05175754427909851,0.17396220564842224,-0.12339359521865845,-0.020505458116531372,0.02362653613090515,-0.01699891686439514,0.0808037519454956,-0.0679856538772583,0.0970354974269867,-0.0411759614944458,-0.12743835151195526,-0.036647289991378784,0.04163360595703125,0.12014967203140259,0.043552279472351074,0.06191572546958923,-0.017981939017772675,-0.09196797013282776,0.044800013303756714,-0.4334932565689087,0.12227095663547516,0.07132840156555176,-0.28728511929512024,0.08997052907943726,-0.010965734720230103,0.12008446455001831,0.0695580393075943,-0.11983799934387207,-0.2114797830581665,-0.03503939509391785,0.043013572692871094,-0.02533966302871704,0.06647269427776337,-0.032623499631881714,0.21669724583625793,-0.06508910655975342,-0.13832595944404602,-0.002441883087158203,-0.03116239607334137,-0.16685158014297485,0.016173794865608215,0.06226320564746857,-0.1295178085565567,0.14829620718955994,0.18490077555179596,-0.07129162549972534,0.05299779772758484,0.1712374985218048,-0.06256954371929169,-0.10906520485877991,0.07962242513895035,-0.01183125376701355,0.11407053470611572,-0.08554176986217499,-0.0804777443408966,-0.014093458652496338,0.10869881510734558,0.03897354006767273,-0.0785045325756073,0.19039034843444824,-0.0829731822013855,0.12077240645885468,0.04106515645980835,-0.09673875570297241,0.32505345344543457,0.12097963690757751,-0.0071592777967453,-0.0014802813529968262,-0.04203566908836365,0.1348150372505188,-0.12433648109436035,-0.08144313097000122,-0.06661725044250488,-0.07280614972114563,-0.14215850830078125,0.11935284733772278,-0.13665436208248138,0.056360602378845215,-0.04982525110244751,-0.13831329345703125,0.07656121253967285,-0.08753204345703125,0.11136476695537567,-0.14080703258514404,-0.09501062333583832,-0.01656530797481537,-0.0785629153251648,0.03342375159263611,-0.0741572380065918,0.06266970932483673,-0.08715030550956726,-0.0035555660724639893,0.16789036989212036,-0.03619472682476044,-0.11017802357673645,-0.10946744680404663,-0.02107633650302887,-0.11308366060256958,0.2511678636074066,0.07439254224300385,0.033079326152801514,-0.002369105815887451,-0.018444418907165527,-0.16290752589702606,0.009943097829818726,-0.04898306727409363,0.06681113690137863,-0.461428701877594,0.03741168975830078,-0.12016236782073975,0.05026639997959137,-0.10269483923912048,-0.08807265758514404,-0.01738053560256958,-0.09722202271223068
Ampicillin,0.00366075336933136,-0.0907522439956665,-0.0692242980003357,0.10551361739635468,-0.0042389631271362305,-0.011015534400939941,0.0032464265823364258,-0.011163145303726196,0.011956945061683655,0.035805195569992065,-0.0780671238899231,0.025326550006866455,0.07287818193435669,0.007611572742462158,0.08326222002506256,-0.09197601675987244,0.037296831607818604,0.08873188495635986,-0.04909282922744751,0.018335431814193726,-0.009271711111068726,0.04302692413330078,-0.015679076313972473,-0.04010637104511261,-0.010362416505813599,0.0021255016326904297,0.03291600942611694,-0.01364964246749878,0.02352479100227356,0.04786814749240875,-0.01498982310295105,0.014362305402755737,-2.4175963401794434,-0.0043479204177856445,0.006534695625305176,-0.11343711614608765,0.031706348061561584,0.0465526282787323,0.013940095901489258,0.03976544737815857,-0.07553838193416595,-0.10498285293579102,-0.023569002747535706,0.010115623474121094,0.003402233123779297,0.03870853781700134,0.029277682304382324,0.0981089174747467,-0.05487281084060669,-0.04712820053100586,0.02855706214904785,0.015192881226539612,-0.1018751859664917,0.010650411248207092,0.03879885375499725,-0.05197992920875549,0.07930541038513184,0.10496833920478821,-0.024943262338638306,0.040345028042793274,0.10203151404857635,-0.03974524140357971,-0.016708776354789734,0.018602050840854645,0.06768463551998138,0.04996357858181,0.000893816351890564,-0.014542341232299805,0.039297595620155334,0.04869942367076874,-0.033733636140823364,-0.005292922258377075,0.07587197422981262,-0.04106608033180237,0.020902395248413086,0.034925103187561035,-0.060968294739723206,0.16061186790466309,0.03835247457027435,0.011882200837135315,0.035443320870399475,-0.008200570940971375,0.04815244674682617,-0.0876052975654602,-0.006294906139373779,0.0014044642448425293,-0.011927902698516846,-0.11581964790821075,0.03176070749759674,-0.08857148885726929,-0.015392303466796875,0.05004975199699402,-0.07549700140953064,0.03628748655319214,-0.05039876699447632,0.036664366722106934,-0.06640958786010742,-0.06485393643379211,0.012228652834892273,-0.041715919971466064,0.02085372805595398,-0.021729707717895508,0.025331050157546997,-0.05764138698577881,-0.014554813504219055,0.0853535532951355,-0.044796764850616455,-0.013020753860473633,-0.03358960151672363,0.008014112710952759,-0.027179300785064697,0.1201009750366211,0.0264681875705719,0.024065136909484863,0.04504638910293579,0.0470353364944458,-0.1047268807888031,0.01857800781726837,-0.022381484508514404,0.04802212119102478,0.5125731229782104,0.018319249153137207,-0.0297364741563797,0.013802140951156616,-0.07188892364501953,-0.011336565017700195,0.05128687620162964,-0.04908256232738495
Anidulafungin,-0.011866271495819092,0.07652631402015686,0.05377507209777832,-0.06172836571931839,-0.004145622253417969,0.02843475341796875,-0.010300517082214355,0.039645373821258545,0.004003290086984634,-0.021449238061904907,0.06190113723278046,-0.05565115809440613,-0.040568023920059204,-0.009045690298080444,-0.07814304530620575,0.06206327676773071,-0.023670166730880737,-0.08037734031677246,0.035085320472717285,-0.042672187089920044,0.010142982006072998,-0.04160246253013611,0.041894420981407166,0.03453238308429718,0.004847213625907898,0.010621875524520874,-0.04259771853685379,-0.013156890869140625,-0.03586375713348389,-0.05858027935028076,0.07348743081092834,0.010494709014892578,-0.45091575384140015,-0.009494364261627197,-0.056636616587638855,0.07272471487522125,-0.05150909721851349,-0.007194012403488159,-0.04131928086280823,-0.019654572010040283,0.03199179470539093,0.09554237127304077,0.05270199477672577,0.01788949966430664,0.009526729583740234,-0.02979820966720581,0.0025578588247299194,-0.049133479595184326,0.04708296060562134,0.0324171781539917,0.0015898346900939941,-0.013182088732719421,0.1162254810333252,-0.029201261699199677,-0.05302265286445618,0.04704207181930542,-0.09104782342910767,-0.1030116081237793,0.009426698088645935,-0.02761124074459076,-0.10372287034988403,-0.029438301920890808,0.03861750662326813,-0.05701211094856262,0.004977978765964508,-0.016523689031600952,0.026946507394313812,0.017427951097488403,-0.02389933168888092,-0.0431770458817482,0.053416669368743896,0.007716327905654907,-0.09524768590927124,0.0413837730884552,0.022286981344223022,-0.03091716766357422,0.03695380687713623,-0.10455816984176636,-0.024166464805603027,-0.0023453980684280396,-0.00789700448513031,0.02712787687778473,-0.03917942941188812,0.06117379665374756,-0.012438058853149414,0.013111472129821777,0.007551819086074829,0.09894562512636185,-0.021604791283607483,0.06404855847358704,-0.015031084418296814,-0.023353248834609985,0.05063086748123169,-0.048352837562561035,0.06609752774238586,-0.021956399083137512,0.07683530449867249,0.06174458563327789,0.012240856885910034,0.026928722858428955,-0.017736956477165222,0.03736951947212219,-0.053677141666412354,0.041827887296676636,-0.003415524959564209,-0.038743436336517334,0.05031736195087433,0.046435803174972534,0.04560643434524536,-0.041536182165145874,0.0456293523311615,-0.08796632289886475,-0.008320152759552002,-0.014016449451446533,-0.01576322317123413,-0.024868547916412354,0.06513595581054688,-0.028915822505950928,0.03417584300041199,-0.056553229689598083,-0.3719016909599304,0.0015292167663574219,0.03829595446586609,-0.014850020408630371,0.028157085180282593,-0.018914207816123962,-0.013281255960464478,0.07074408233165741
Azithromycin,0.06068351864814758,-0.2051147222518921,-0.17977368831634521,0.28367897868156433,0.08504313230514526,0.015731334686279297,-0.026022672653198242,-0.04909414052963257,0.03887671232223511,0.14249931275844574,-0.1665206253528595,0.13131821155548096,0.23028099536895752,-0.015062332153320312,0.14770370721817017,-0.19399750232696533,-0.005405902862548828,0.030751347541809082,-0.027485191822052002,0.11858966946601868,-0.06865406036376953,0.12008833885192871,-0.014246314764022827,-0.16613972187042236,-0.023822426795959473,0.08319330215454102,0.0980789065361023,0.032330095767974854,0.006372988224029541,0.04980587959289551,-0.04163235425949097,0.006143689155578613,-2.671431064605713,0.08307218551635742,0.05174887180328369,-0.40815049409866333,0.10385258495807648,-0.00012040138244628906,0.12775665521621704,0.08737164735794067,-0.12386949360370636,-0.3082290291786194,-0.04856143891811371,-0.03150421380996704,-0.06390264630317688,0.07590600848197937,-0.06166672706604004,0.23450994491577148,-0.10554111003875732,-0.10206805169582367,-0.022896766662597656,-0.02177882194519043,-0.25333479046821594,-0.025105968117713928,0.15683569014072418,-0.1719505786895752,0.21753528714179993,0.18799683451652527,-0.04776851832866669,0.08264674246311188,0.24042470753192902,-0.08086280524730682,-0.0752210021018982,0.11418876051902771,0.029174357652664185,0.13010121881961823,-0.07738859951496124,-0.04532858729362488,-0.019934535026550293,0.1423111855983734,-0.006278932094573975,-0.10968363285064697,0.29722797870635986,-0.1078994870185852,0.10973739624023438,0.10654217004776001,-0.1880885362625122,0.3767540752887726,0.12173347175121307,0.0011886805295944214,0.05126333236694336,0.01469162106513977,0.12066526710987091,-0.1781032681465149,-0.10536211729049683,-0.07534980773925781,-0.05534541606903076,-0.2231595665216446,0.15806028246879578,-0.21564573049545288,-0.014371871948242188,0.04435208439826965,-0.22779670357704163,0.07222157716751099,-0.14433640241622925,0.08658111095428467,-0.12558388710021973,-0.09935490787029266,-0.02166762948036194,-0.1216026246547699,0.09312623739242554,-0.05012500286102295,0.13579393923282623,-0.17210271954536438,-0.0694860965013504,0.19596098363399506,-0.06568540632724762,-0.10362449288368225,-0.1462659239768982,-0.0023454129695892334,-0.13350582122802734,0.3692583739757538,0.12481452524662018,0.08062100410461426,0.004603400826454163,-0.046289801597595215,-0.2436704933643341,0.0482504665851593,-0.09139645099639893,0.18126180768013,1.825808048248291,0.09133672714233398,-0.09938684105873108,0.04038837552070618,-0.11074325442314148,-0.09697338938713074,0.045712292194366455,-0.07872043550014496
Aztreonam,-0.0017552226781845093,-0.07897958159446716,-0.050930798053741455,0.06865304708480835,0.02046799659729004,-0.0041114091873168945,0.002698361873626709,-0.0098675936460495,0.055262401700019836,0.07607150077819824,-0.035529494285583496,0.04073655605316162,0.052857160568237305,-0.013801991939544678,0.07088413834571838,-0.06806892156600952,0.0008898377418518066,0.025110363960266113,3.933906555175781e-05,0.02605961263179779,-0.007690489292144775,0.028150737285614014,-0.030570000410079956,-0.05970045179128647,-0.02550162374973297,0.008530944585800171,0.06614309549331665,0.007333278656005859,0.024523884057998657,0.0029791519045829773,-0.032300591468811035,0.012258738279342651,-0.6848281025886536,0.04192599654197693,0.01464909315109253,-0.1432202160358429,0.04228377342224121,0.015937671065330505,0.04889872670173645,0.04880736768245697,-0.030777543783187866,-0.10089388489723206,-0.024548694491386414,0.0031720399856567383,0.005726814270019531,0.027836114168167114,0.03294453024864197,0.12217038869857788,-0.032469868659973145,-0.0562276691198349,0.012807369232177734,0.013393804430961609,-0.07570447027683258,-0.012328371405601501,0.021181032061576843,-0.05483432114124298,0.09511572122573853,0.07955178618431091,-0.014498665928840637,0.03320237994194031,0.06867773830890656,-0.03054848313331604,-0.049236759543418884,0.013078123331069946,0.02936067432165146,0.04287099838256836,-0.04056712985038757,-0.03181636333465576,0.023764312267303467,0.03094254434108734,0.010384872555732727,-0.03445315361022949,0.07799766957759857,-0.030981779098510742,0.046512454748153687,0.015107870101928711,-0.03127020597457886,0.1715981364250183,0.04500551521778107,-0.009376630187034607,0.025701221078634262,-0.010442957282066345,0.07041014730930328,-0.0718766450881958,-0.02972245216369629,-0.018614232540130615,-0.014293640851974487,-0.06880863010883331,0.03537340462207794,-0.07236810028553009,0.007751524448394775,0.026211947202682495,-0.09778141975402832,0.04015636444091797,-0.027333945035934448,0.02926410734653473,-0.061077624559402466,-0.041621968150138855,0.004495065659284592,-0.035107702016830444,0.01856103539466858,-0.014981597661972046,0.02973862737417221,-0.020874738693237305,-0.014763221144676208,0.08695517480373383,-0.009998783469200134,-0.05001860857009888,-0.04184800386428833,0.008699029684066772,-0.04633611440658569,0.1311308890581131,0.026559099555015564,0.009103000164031982,0.020345181226730347,0.022542119026184082,-0.06979392468929291,0.012271352112293243,-0.028943121433258057,0.017043285071849823,-0.8360075354576111,-0.01212531328201294,-0.03678975999355316,0.022034719586372375,-0.059055209159851074,-0.03091339021921158,0.017925173044204712,-0.0323396772146225
Benzylpenicillin,0.030973434448242188,0.0002257823944091797,0.002095639705657959,0.050765618681907654,0.03189420700073242,0.07280313968658447,-0.0008029341697692871,0.006151348352432251,0.01616537570953369,0.0292510986328125,-0.010265618562698364,0.013783276081085205,0.06592109799385071,-0.04576915502548218,0.01795230805873871,-0.040046870708465576,-0.005353331565856934,-0.02367544174194336,0.01029115915298462,-0.027478456497192383,-0.03825122117996216,0.04032105207443237,0.03405606746673584,-0.025815218687057495,0.0022887587547302246,0.06868678331375122,-0.027286216616630554,-0.012021839618682861,-0.006269782781600952,-0.03195199370384216,0.027686983346939087,-0.0051863789558410645,-2.138824462890625,-0.021353691816329956,-0.06106916069984436,-0.07889419794082642,-0.014133960008621216,0.0227968692779541,-0.009919941425323486,-0.0012311041355133057,-0.05042465031147003,-0.052128225564956665,0.047877416014671326,0.009644925594329834,-0.00737568736076355,0.006940722465515137,-0.00974816083908081,0.06190958619117737,0.0012415647506713867,-0.0506339967250824,-0.008412718772888184,0.0012292563915252686,-0.01826685667037964,-0.0023271888494491577,0.019895032048225403,-0.02556973695755005,0.018034696578979492,-0.013472110033035278,-0.013895481824874878,-0.017401188611984253,0.00258471816778183,-0.07396486401557922,0.0127469003200531,0.04374317824840546,0.0096120685338974,0.057445675134658813,0.024906843900680542,-0.02594861388206482,-0.05907091498374939,0.03892810642719269,0.01531440019607544,-0.027088046073913574,0.044442057609558105,-0.01686084270477295,0.05976051092147827,0.02819240093231201,-0.059929803013801575,0.07246416807174683,0.0669672042131424,0.007011875510215759,0.018252432346343994,0.052472054958343506,0.011362984776496887,0.0033672749996185303,-0.017507433891296387,-0.006093084812164307,-0.01597622036933899,-0.002117246389389038,0.0437411367893219,-0.039694249629974365,-0.02265983819961548,-0.019332244992256165,0.01407855749130249,-0.049408555030822754,-0.0022451281547546387,0.008929252624511719,-0.006533265113830566,-0.011825531721115112,-0.027528569102287292,-0.04792463779449463,0.040629178285598755,-0.01400667428970337,0.006638325750827789,-0.04058462381362915,-0.05054581165313721,0.035258352756500244,0.034111157059669495,0.0031119883060455322,-0.04273909330368042,-0.06416460871696472,0.004298150539398193,0.033514603972435,0.015023186802864075,0.02774369716644287,-0.0344487726688385,-0.061440348625183105,-0.07639995217323303,-0.02566956728696823,-0.018203705549240112,0.03204306960105896,1.5563300848007202,0.06999796628952026,-0.013985484838485718,-0.010623306035995483,-0.010730952024459839,-0.050971031188964844,0.04119610786437988,-0.0040595680475234985
Caspofungin,-0.026451945304870605,0.002660512924194336,-0.040328919887542725,0.04824666678905487,-0.01922363042831421,-0.019403457641601562,-0.034231722354888916,-0.002036944031715393,-0.03251845762133598,-0.013461142778396606,-0.009803056716918945,-0.0012776851654052734,0.0033254921436309814,0.05041468143463135,-0.0010689198970794678,-0.020413100719451904,0.0042645931243896484,0.037849098443984985,-0.020234644412994385,-0.001615762710571289,0.009031146764755249,-0.029416292905807495,-0.013688609004020691,0.01601746678352356,-0.008948951959609985,0.006807863712310791,0.00235111266374588,-0.010012030601501465,0.004629641771316528,0.030308306217193604,0.04284489154815674,0.0001252293586730957,-1.3162740468978882,-0.01107102632522583,-0.020747900009155273,-0.01372230052947998,-0.0053506046533584595,0.026155978441238403,-0.02320563793182373,0.027286052703857422,-0.0032240301370620728,-0.012733861804008484,-0.002261511981487274,-0.01595240831375122,0.014172613620758057,-0.009164094924926758,0.03734558820724487,0.008695125579833984,0.0010849535465240479,0.0010732710361480713,0.008895516395568848,-3.0249357223510742e-06,-0.0009929537773132324,-0.02713450789451599,0.006631448864936829,-0.005286067724227905,-0.005036383867263794,0.009234428405761719,-0.0019770562648773193,0.016765952110290527,0.01832766830921173,-0.02361816167831421,0.008873581886291504,-0.049185603857040405,0.0601406991481781,-0.016615688800811768,0.003138124942779541,0.033813685178756714,0.03709292411804199,-0.03162077069282532,0.004193782806396484,0.01859472692012787,-0.0019095838069915771,0.016172558069229126,0.006285220384597778,0.021406829357147217,-0.0012836158275604248,0.029882729053497314,-0.0005948245525360107,0.015707939863204956,0.022795066237449646,0.010116979479789734,4.242360591888428e-05,-0.03431791067123413,0.0013797879219055176,0.027419865131378174,0.01466020941734314,-0.028643861413002014,-0.02391161024570465,-0.030516445636749268,-0.03504607081413269,0.06316469609737396,-0.05202609300613403,-0.009521245956420898,-0.00015157461166381836,-0.015756383538246155,0.010794878005981445,0.005344659090042114,0.03402641415596008,-0.002729743719100952,-0.013129115104675293,0.017438769340515137,-0.010827213525772095,0.0017937719821929932,-0.036691680550575256,0.026793673634529114,-0.007208913564682007,0.01790820062160492,0.0071125030517578125,0.02247217297554016,0.0065194666385650635,0.04467986524105072,0.015111401677131653,-0.008762657642364502,0.036590754985809326,0.04760026931762695,-0.018292956054210663,0.026964500546455383,0.0044460296630859375,0.00881125032901764,0.30636394023895264,-0.006444752216339111,0.028363004326820374,-0.012722909450531006,-0.03326594829559326,0.008049771189689636,0.033599525690078735,0.021707892417907715
