drug,MACCS_fp,morgan_512_fp,morgan_1024_fp,pubchem_fp
5-Fluorocytosine,00000000000000000000000000000000000001100011000000000000000000000100000000000100100010010000000001100000001100100100010011000001000101110100001110000011001010100111110,00000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000010000000000000000000000010000000000000001000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000100000000000000000000001000000000100000000100000000000000000000110000000000000100010000000000000000000100000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000010000000000000000000011000000000000000000000000000000000000010000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1101110001100000000110001100100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000001000000000000000000000000000000001000000000001100000100000000000001000000000100000000000000101100000000000000000000001010100000000000000100000110000101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amikacin,00000000000000000000000000000000000000000000000000000110010000000000000010000000101010000111100101101000100001110000011010010011000111000111101101110011111111110101110,01000000000001000000010000000010010100000000000000000100000001000000000000000000100010000000000000100000000000000000110000000000100000000010000010010000000000000000000000000001000000010000000000000000000000000010000100000010001110000100000000000000000000000000000000001000000000000000000000110001100100001000100000000000000000000000000001000000000000001000010100000000000100000001010101010000000000000000000000000010000000000000000000000000010000000000000000000001001001000000000000000000110010000000000000010001,0100000000000100000000000000001000010000000000000000010000000000000000000000000010001000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000001000010000001000110000010000000000000000000000000000000000100000000000000000000010000000010000000000000000000000000000000000000100000000000000000001010000000000010000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000011001000000000000000000000000000000000000000010000000000010000000000000000000000000001000000000000000000000000000000000000100000000000000000110000000000000000000010000010000000000000000000000000000001000000010000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000010001100000001000100000000000000000000000000000000000000000001000010000000000000000000000010101000000000000000000000000000010000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000010001,1101110001111100000111101110111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010001001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001000000001000000000000000000000001000001111001111000110000000000001110000000000001000000000101100000000000110000000000000100000000000000000010001000000010000000000100000000000000000000000000000000000000000000000000000000000000000100000010100100000000000000000000001001100010000000100100000000011000000000000000010011101000000000000000000011100010110000000001001011100000000000000011111010001110000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000001010000001000000000001010000000000000000000000000000000000000000000000000000000000000
Amoxicillin,00000000100100000001000000000000000010000000000100000010000000000010000000100001010111001000100111000000010000101100010011110001000101001101101100101111101011111111110,01000100000000000010000000000000010010000000000000000000000001000010000001000000000000000000000100010000000000000000000000000110101000000010000000010000000000000101000000000000000001000100000000000100000000000000001000000000000000000100000001100000001100010000000000000000001000000000000001000001000000000000000000100100000000000000000001000100000000000000100000100000000000000000010000010100000000000100000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0100010000000000001000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011010100000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000110001000000000000000000100000000000000100000000000000000000000010000000000000000000000000010000000000000010000010000000000000000000000001010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000001000000000000000000000100010000000000000000000000000000000000000010000000000000000000000101000000000000000000000100000000000100000000000000001000000000000000000100000001100000000000000000000000000000001000000000000000000001000000000000000000000100000000000000000001000000000000000000000000000000000000000000010000000000000000000100000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,1101110001111000000111101100111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000011000000000000000000000000000000000101100000000000000000000000000000000000000100000000000000000000000000011110000001000001000000001000000000000000000000001100001011001100010111011000000001001011001000001110100000111100000000000010000010001000100000000010001000011101001000011000000000001000001000000000000000000110000000100000000100000000100010001000100000011000111000001100100010000000101001100110001110101010001010010101001100111001010001110000000000000110010011010110000100011011100010011000000001111001100011011000100000011000111000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Amphotericin B,00000000000000000000000000000000000000000000000000000110010000000000000010000000000010000111000101110000110010001000001010010011110111001101110101110111101011111101110,01000000000000000000010000100000010110111000001000000010000110001000000001000111110000000000000010001100000000000000100000000000001000000010000010010000000000000001001100001000000000010001000100000000000000000010000000000100000000010100001000000000000000000000000000001000000000001001010000101001110101000000000000100000000100000000000101000000000001100000110000000001001000000000010001000100000000000000000100000010010001000000000010000010000000000000000000100001000000000000000000000000000000000000000000010000,0100000000000000000000000010000001011000100000100000000000011000100000000100010010000000000000000000010000000000000000000000000000100000000000000001000000000000000100000000100000000000000000000000000000000000001000000000000000000001010000000000000000000000000000000000100000000000100001000000000000010100000000000010000000000000000000010000000000000000000011000000000000000000000000000000010000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000110000000000000010000100000000000000000011010000000000000010001000000000000000100000000000000000000010000010000000000000000000001100000000000000010001000100000000000000000010000000000100000000000000001000000000000000000000000000000000000000001001000000101001110000000000000000000000000100000000000001000000000001100000010000000001001000000000010001000000000000000000000000000010010001000000000010000000000000000000000000100000000000000000000000000000000000000000000000010000,1101110001111100000111111000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001000000001000000000000000000000001101001111001111000110000000000001110000001000001000000000000100000000000110000000001000100000000000001000001101001000001000000000000000000000000000000000000010000000000000000000000000100000001000100000010000000000000000000010000001101100010100000101100000000010100001000000000010001001010000000000000000011111110000000000000000111110100000000000111100100011101100111011001100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ampicillin,00000000100100000001000000000000000010000000000100000010000000000010000000100001010111001000100111000000010000101000010011110001000101001101101100101111001011111111110,01000100000000000010000000000000010010000000010000000000000001001000000001000000000000000000000100010000000000000000000000000110101000000010000000010000000000000101000000000001000001000100000000000100000000000000001000000000000000000100000001000000001100010000000000000000001000000000000000000001000000000000000000100000000000000000000001000100000000000000100000100000000000000000010000010100000000000100000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0100010000000000001000000000000001001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000011010100000000000000001000000000000000000000000000100000100000000000000000000000000000000000000000000000000010000000000000000110001000000000000000000100000000000000000000000000000000000000010000000000000000000000000010000000000000010000010000000000000000000000001010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000001000000000000000000000100010000000000000000000000000000000000000010000000000000000000000101000000000000000000000100000000000100000000000000001000000000000000000000000001000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000100000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,1101110001111000000111101100111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000011000000000000000000000000000000000101100000000000000000000000000000000000000100000000000000000000000000011110000001000001000000001000000000000000000000001100001010001100010111011000000001001011001000001000100000111100000000000010000010001000100000000010001000011101001000011000000000001000001000000000000000000110000000000000000100000000100010001000100000011000100000000100100010000000101001100000001110101010000010010101001100011001010001100000000000000110010010010110000000001011100010001000000001110001100010001000100000001000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Anidulafungin,00000000000000000000000000000000000000000001000000000110000000100000000010000001000101000111100111001000110011110111111011100111010111001111111101111111111111111111110,01000101011001000001000000000000010000000000000000000000000000000010000000000011100010000010000000001010000001000000000010000000110010001010000000000000000000000100000000001001000000110000000000000000000000100000001000001000010100000100000000100000000000000010100000001000000000000011010011001011001001000000100000110100001100001000000001000100000000000000100001000000000000110000010010010000000000000000000000000010000010011000100000000000000010000000000000000001100101000000000000100110000010000000000001010010,0100010000100100000100000000000001000000000000000000000000000000000000000000000010000000001000000000001000000000000000001000000010001000100000000000000000000000000000000000000000000010000000000000000000000000000000000000100001010000010000000000000000000000000010000000100000000000001101001100001000100100000000000010000000100000100000000000010000000000000010000100000000000000000000000001000000000000000000000000000000001000000010000000000000000000000000000000000100000000000000000010001000001000000000000100000000000001010000000000000000000000000000000000000000000000000000000010000000000011000010000000000000001000000001000000000000000000010000000010000000000000000000000100000000001001000000010000000000000000000000100000001000000000000100000100000000100000000000000010000000000000000000000010000000001001000000000000100000010100000100000000000001000100000000000000000000000000000000110000010010000000000000000000000000000010000000011000100000000000000010000000000000000000100101000000000000000100000000000000000000010010,1101110001111100000111111110111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000101100000000000000000000000011000001100000110000011000000000000000000000000000000000000000000000000000000101010100000000000000000000011110000000000001000000001000000000000000000000001101001111001110000110011000000001100011001000000110100000111100000000000110000000001000100000000010001000010101001000010000000000001000001000001000000000000010010000100000000000000000100010001000100000011000111000001100110010010000111101110110001101101000011010110101001110111001011001111001001010001110011011110110000100011001100110111001100001111011101011111101111101101000111011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Azithromycin,00000000000000000000000000000000000000000000000000000010010000000010000010110000000001100111010101101000100010011011100011110011000111000101111101101110111111111101110,00100000001000000000000000000000010010000010000010000000000000000000000000000000100000000000010000011000000000000000000001001000001010000111100110000100000000000000000100000001000000010000000001000000000000100010000000000000010100010100001000110001101110000000000000001100000000110000010001000011000100000000000000100100000000000100000000000000000001000000110000000000010100100000000001000000000000000001000000000010000000010000011000010010000000001000000100000001000100001000000000000110000000010000000000010000,0000000000000000000000000000000001001000001000000000000000000000000000000000000010000000000000000000000000000000000000000100100000100000000110000000010000000000000000000000000000000000000000000100000000000010000000000000000000000001010000000010000010110000000000000000110000000011000001000100001000010000000000000010010000000000000000000000000000000100000011000000000000010000000000000000000000000000000100000000000000000000000000100000001000000000000000010000000100010000000000000000011000000001000000000000000000100000001000000000000000000000000000000000000010000000000000000000000000000000000000000000010000011000000000000000000000000000000010000110000110000000000000000000000100000001000000010000000000000000000000000010000000000000010100000000001000010001000010000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000001000000010000000000010000100000000001000000000000000000000000000010000000010000010000010000000000001000000100000000000000001000000000000000000000000000000000010000,1101110001111100000111111100111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000001000000000000000000000001101011111001111000110000000000001110000001000001000000000110000000000000110000000000000100000000000000000001001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000001001100010000000101100000000010000000000000000010011001000000000000000000011100100000000000001001011100000000000000011111100011111100111111101100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Aztreonam,00000000100100000000000010000000010010011000000110000001001011001111010111110111110110001100101111000010001000101000010111111011001101011101111100101111101011111110110,00000100000100000000000000000001010000001000000000000000001000000000000000010000100000000000000000000000000000000010000000000100100000000010010000010010000000100001000000000000000000010010000000000000000000000000010000100000000010000101000010000000000000000000000000000000000000001000010000000001000000000000000000100001000000000000001001000001000000100000100000000000000000000010010000010100100000000000000000000000000000010000000101000001110000000001100100000000000000000000000001000100000000000000000000010000,0000010000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000010000000000000000001001000000010000000000000000000000001001000000000000000000000000000000010000000001000010100001000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000100000000000000010000010000000000000000000001000000001010010000000000000000000000000000000000000010100000010000000000010010000000000000000000000000100010000000000000000000000000000000000000100000000000000000001000000001000000000000000001000000000000000000000100000000000000000000000000000000000000000000100100000000010010000000000000000000001000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000001000000000000000001000001000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000001010000000001000000000000000000000000000000000100000000000000000000010000,1101110001111000000111001110111100000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000011110000001000001010001001000000000000000000000001100011011001100010111010110000001001010001110011001000100101101100000010010100010001010110000000001000001011111001001111100001100100000000011110000101010010110000100001010001110010000000000000000100101011111100000100000000110001000000101100000100110000010000011000100001000010001010001000000000000000000000000010110000000101000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Benzylpenicillin,00000000100100000001000000000000000010000000000100000000000000000010000000100001010101001000100111000000110000111000010011110001000111001101101100101111001111111111110,00000100000000000010000000000000010010000110000000000000000001001000000000000000100000000000000000010000000000000000000000000110101000000010000000000000000000000101000000000001000001000100000000000000000000000000001000100000000000000100000001000000001000010000000000000000000000000000000000000001000000000000000000100000000001000000000001000000000000000000100000100000000000000000010000010100000000000100000100000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0000010000000000001000000000000001001000011000000000000000000100100000000000000010000000000000000000000000000000000000000000011010100000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000010000000000000000100001000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000010000010000000000000000000000001010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000101000000000000000000000100000000000000000000000000001000100000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000100000100000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,1101110001111000000111101100111000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000011000000000000000000000000000000000101100000000000000000000000000000000000000100000000000000000000000000011110000001000001000000001000000000000000000000001100001010001100010111011000000001001011001000001000100000111100000000000010000010001000100000000010001000011101001000011000000000000000001000000000000000000110000000000000000100000000100010001000100000011000100000000000100010000000101001100000001110101010000010010101001100011001010001100000000000000010010010010110000000001011100010001000000001110001100010001000100000001000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Caspofungin,00000000000000000000000000000000000000100001000000000110000000000000000010000101001111000111100111001000110010110111111011100001110111001111111100111111111111111111110,01000101111000000001000000001010010000000100000000000100000000000010000000000011100010010010000000001000000001000000001100000000100000000010000000010000000100000000000010001001000000100000100000000000000000000000001001011000100100000100000000110000000000000011000000001001000000100011000011000011001001001000100000100100000000001000000001000100000000000000100000000000000000110000010011010000000100000000000000100010000000011000100001000000000010001000000010011000101101000000000000100100000010000000000001010000,0100010000100000000100000000001001000000010000000000010000000000000000000000000010000000001000000000000000000000000000110000000010000000000000000001000000000000000000000000000000000000000010000000000000000000000000000001100000010000010000000001000000000000000100000000100000000010001100001100001000100100000000000010000000000000100000000100010000000000000010000000000000000000000000000101000000010000000000000000000000000000000010000100000000000000100000001000000000000000000000000010000000001000000000000100000000000001110000000000000000001000010000000000000000000000000000000010000000000011000010010000000000001000000001000000000000000000000000000010000000000000000100000000000010001001000000100000000000000000000000000000001001000000100100000100000000100000000000000010000000000001000000000000000000000001000000001000100000000100000000000000000001000000000000000000100000000000000000110000010010000000000000000000000000100010000000011000000000000000000010000000000000011000101101000000000000000100000000000000000000010000,1101110001111100000111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000101100000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011110000000000001000000001000000000000000000000001101001111001110000110011000000001100011001100000110100000111100000000000010000000001000100000000010001000010101001000010000000000000000001000000000000000000010000000100000000000000000100010001000100000011000111000001000100010001000101101110110001101101000001010010001001100101001010001110000000000000010111011110111000100111001100110011000000001111011101011101001111001001000111000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
