drug,5-Fluorocytosine,Amikacin,Amoxicillin,Amphotericin B,Ampicillin,Anidulafungin,Azithromycin,Aztreonam,Benzylpenicillin,Caspofungin,Cefazolin,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftobiprole,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clarithromycin,Clindamycin,Colistin,Cotrimoxazole,Daptomycin,Doxycycline,Ertapenem,Erythromycin,Fluconazole,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Isavuconazole,Itraconazole,Levofloxacin,Linezolid,Meropenem,Metronidazole,Micafungin,Minocycline,Moxifloxacin,Mupirocin,Nitrofurantoin,Norfloxacin,Novobiocin,Ofloxacin,Oxacillin,Penicillin,Piperacillin,Polymyxin B,Posaconazole,Quinolones,Rifampicin,Teicoplanin,Telithromycin,Tetracycline,Ticarcillin,Tigecycline,Tobramycin,Vancomycin,Voriconazole
5-Fluorocytosine,1.0,0.3333333333333333,0.34328358208955223,0.2647058823529412,0.3333333333333333,0.2839506172839506,0.24,0.29545454545454547,0.30434782608695654,0.3333333333333333,0.3170731707317073,0.3010752688172043,0.3373493975903614,0.34146341463414637,0.2962962962962963,0.3333333333333333,0.3146067415730337,0.3118279569892473,0.3333333333333333,0.2857142857142857,0.24285714285714285,0.4264705882352941,0.2191780821917808,0.27848101265822783,0.2916666666666667,0.35365853658536583,0.325,0.3088235294117647,0.29333333333333333,0.21621621621621623,0.3442622950819672,0.12280701754385964,0.11267605633802817,0.2714285714285714,0.24358974358974358,0.3088235294117647,0.3875,0.3698630136986301,0.3888888888888889,0.22784810126582278,0.25675675675675674,0.2727272727272727,0.30985915492957744,0.3815789473684211,0.1527777777777778,0.3333333333333333,0.4142857142857143,0.35714285714285715,0.3698630136986301,0.32,0.30434782608695654,0.29411764705882354,0.3194444444444444,0.4,0.40476190476190477,0.29545454545454547,0.35443037974683544,0.2823529411764706,0.2916666666666667,0.29850746268656714,0.2875,0.296875,0.3717948717948718,0.29896907216494845
Amikacin,0.3333333333333333,1.0,0.40540540540540543,0.639344262295082,0.3972602739726027,0.6164383561643836,0.5735294117647058,0.3333333333333333,0.4246575342465753,0.5945945945945946,0.43529411764705883,0.40625,0.4880952380952381,0.42528735632183906,0.5454545454545454,0.4157303370786517,0.43956043956043955,0.44680851063829785,0.3958333333333333,0.46987951807228917,0.44285714285714284,0.48,0.5147058823529411,0.5333333333333333,0.671875,0.37362637362637363,0.6666666666666666,0.4305555555555556,0.5,0.5294117647058824,0.3150684931506849,0.21875,0.34782608695652173,0.7166666666666667,0.48,0.2875,0.47058823529411764,0.4430379746835443,0.5405405405405406,0.44155844155844154,0.35443037974683544,0.5053763440860215,0.44594594594594594,0.5063291139240507,0.515625,0.42857142857142855,0.4868421052631579,0.5138888888888888,0.4430379746835443,0.3780487804878049,0.4246575342465753,0.4939759036144578,0.676923076923077,0.46511627906976744,0.25862068965517243,0.5058823529411764,0.6805555555555556,0.5,0.44594594594594594,0.3835616438356164,0.5394736842105263,0.8653846153846154,0.6351351351351351,0.37254901960784315
Amoxicillin,0.34328358208955223,0.40540540540540543,1.0,0.43661971830985913,0.9622641509433962,0.5189873417721519,0.4533333333333333,0.5662650602409639,0.8596491228070176,0.5384615384615384,0.55,0.5054945054945055,0.5301204819277109,0.575,0.6351351351351351,0.5609756097560976,0.6024096385542169,0.46808510638297873,0.5280898876404494,0.5897435897435898,0.33766233766233766,0.3950617283950617,0.4583333333333333,0.4810126582278481,0.4533333333333333,0.3956043956043956,0.46987951807228917,0.5909090909090909,0.6865671641791045,0.4520547945205479,0.32432432432432434,0.21212121212121213,0.3194444444444444,0.4,0.547945205479452,0.3815789473684211,0.3956043956043956,0.4146341463414634,0.4146341463414634,0.6142857142857143,0.2976190476190476,0.4489795918367347,0.5571428571428572,0.44047619047619047,0.2692307692307692,0.38271604938271603,0.4024390243902439,0.5205479452054794,0.4146341463414634,0.7692307692307693,0.8596491228070176,0.6578947368421053,0.48,0.4065934065934066,0.29310344827586204,0.4942528735632184,0.4470588235294118,0.47058823529411764,0.5571428571428572,0.8727272727272727,0.5063291139240507,0.3561643835616438,0.5,0.4791666666666667
Amphotericin B,0.2647058823529412,0.639344262295082,0.43661971830985913,1.0,0.42857142857142855,0.5675675675675675,0.5909090909090909,0.3404255319148936,0.4166666666666667,0.5675675675675675,0.34831460674157305,0.4,0.38202247191011235,0.3707865168539326,0.4810126582278481,0.37777777777777777,0.40217391304347827,0.38144329896907214,0.375,0.4117647058823529,0.3026315789473684,0.4342105263157895,0.6290322580645161,0.4868421052631579,0.5909090909090909,0.3977272727272727,0.5945945945945946,0.5074626865671642,0.47297297297297297,0.6451612903225806,0.22077922077922077,0.26666666666666666,0.5689655172413793,0.7413793103448276,0.4533333333333333,0.23170731707317074,0.3977272727272727,0.4358974358974359,0.4,0.4533333333333333,0.25,0.4838709677419355,0.5441176470588235,0.4810126582278481,0.6379310344827587,0.3170731707317073,0.44155844155844154,0.5735294117647058,0.4358974358974359,0.4050632911392405,0.4166666666666667,0.4878048780487805,0.5970149253731343,0.39325842696629215,0.22413793103448276,0.5180722891566265,0.6301369863013698,0.49382716049382713,0.5441176470588235,0.4142857142857143,0.5131578947368421,0.6379310344827587,0.5866666666666667,0.3269230769230769
Ampicillin,0.3333333333333333,0.3972602739726027,0.9622641509433962,0.42857142857142855,1.0,0.4936708860759494,0.44594594594594594,0.5609756097560976,0.8909090909090909,0.5128205128205128,0.5641025641025641,0.5168539325842697,0.5432098765432098,0.5897435897435898,0.6301369863013698,0.575,0.5975609756097561,0.4782608695652174,0.5227272727272727,0.5844155844155844,0.32894736842105265,0.37037037037037035,0.4507042253521127,0.47435897435897434,0.44594594594594594,0.37362637362637363,0.4634146341463415,0.5606060606060606,0.6818181818181818,0.4444444444444444,0.3150684931506849,0.2,0.30985915492957744,0.3918918918918919,0.5416666666666666,0.37333333333333335,0.37362637362637363,0.3902439024390244,0.4074074074074074,0.6086956521739131,0.3048780487804878,0.42857142857142855,0.5285714285714286,0.4166666666666667,0.2597402597402597,0.375,0.3780487804878049,0.4931506849315068,0.3902439024390244,0.765625,0.8909090909090909,0.6756756756756757,0.47297297297297297,0.38461538461538464,0.2807017543859649,0.47126436781609193,0.4235294117647059,0.4642857142857143,0.5285714285714286,0.9056603773584906,0.4810126582278481,0.3472222222222222,0.47560975609756095,0.48936170212765956
Anidulafungin,0.2839506172839506,0.6164383561643836,0.5189873417721519,0.5675675675675675,0.4936708860759494,1.0,0.618421052631579,0.38461538461538464,0.5384615384615384,0.8611111111111112,0.5,0.51,0.5,0.48936170212765956,0.5882352941176471,0.49473684210526314,0.5,0.47572815533980584,0.48514851485148514,0.5,0.40963855421686746,0.5301204819277109,0.5657894736842105,0.6794871794871795,0.7083333333333334,0.41,0.7662337662337663,0.5063291139240507,0.6075949367088608,0.5789473684210527,0.36585365853658536,0.20512820512820512,0.4342105263157895,0.5866666666666667,0.5487804878048781,0.38372093023255816,0.5842696629213483,0.5662650602409639,0.5662650602409639,0.5679012345679012,0.43023255813953487,0.7528089887640449,0.5375,0.6071428571428571,0.4868421052631579,0.4482758620689655,0.573170731707317,0.5060240963855421,0.5662650602409639,0.5,0.5384615384615384,0.6666666666666666,0.7361111111111112,0.5955056179775281,0.2714285714285714,0.6551724137931034,0.7341772151898734,0.6951219512195121,0.5569620253164557,0.5,0.6219512195121951,0.547945205479452,0.6506024096385542,0.4857142857142857
Azithromycin,0.24,0.5735294117647058,0.4533333333333333,0.5909090909090909,0.44594594594594594,0.618421052631579,1.0,0.3711340206185567,0.4931506849315068,0.5769230769230769,0.4111111111111111,0.44329896907216493,0.3978494623655914,0.40217391304347827,0.5121951219512195,0.42391304347826086,0.46236559139784944,0.3557692307692308,0.40404040404040403,0.42696629213483145,0.325,0.45,0.8620689655172413,0.6438356164383562,0.5774647887323944,0.3829787234042553,0.5432098765432098,0.5,0.48717948717948717,0.8793103448275862,0.36486486486486486,0.25757575757575757,0.4626865671641791,0.7142857142857143,0.4146341463414634,0.38461538461538464,0.5116279069767442,0.5256410256410257,0.4691358024691358,0.5263157894736842,0.36585365853658536,0.5104166666666666,0.5342465753424658,0.5121951219512195,0.5,0.3855421686746988,0.4936708860759494,0.5405405405405406,0.5256410256410257,0.43902439024390244,0.4931506849315068,0.6125,0.5833333333333334,0.5232558139534884,0.18181818181818182,0.5465116279069767,0.5555555555555556,0.6842105263157895,0.5555555555555556,0.43243243243243246,0.6052631578947368,0.59375,0.6363636363636364,0.3942307692307692
Aztreonam,0.29545454545454547,0.3333333333333333,0.5662650602409639,0.3404255319148936,0.5609756097560976,0.38461538461538464,0.3711340206185567,1.0,0.5294117647058824,0.39805825242718446,0.5102040816326531,0.5631067961165048,0.5894736842105263,0.6129032258064516,0.4948453608247423,0.6,0.6702127659574468,0.5728155339805825,0.6326530612244898,0.5578947368421052,0.35106382978723405,0.3173076923076923,0.35789473684210527,0.39603960396039606,0.3711340206185567,0.6063829787234043,0.3904761904761905,0.40217391304347827,0.4731182795698925,0.3541666666666667,0.32608695652173914,0.2682926829268293,0.23958333333333334,0.34375,0.4421052631578947,0.35789473684210527,0.42452830188679247,0.3333333333333333,0.34615384615384615,0.4574468085106383,0.3711340206185567,0.5660377358490566,0.4,0.36792452830188677,0.23,0.5111111111111111,0.3238095238095238,0.42105263157894735,0.3333333333333333,0.6352941176470588,0.5294117647058824,0.5151515151515151,0.37755102040816324,0.4205607476635514,0.17857142857142858,0.4666666666666667,0.33636363636363636,0.44660194174757284,0.3854166666666667,0.5679012345679012,0.3883495145631068,0.29473684210526313,0.4,0.6274509803921569
Benzylpenicillin,0.30434782608695654,0.4246575342465753,0.8596491228070176,0.4166666666666667,0.8909090909090909,0.5384615384615384,0.4931506849315068,0.5294117647058824,1.0,0.5384615384615384,0.631578947368421,0.5222222222222223,0.5875,0.575,0.6805555555555556,0.5609756097560976,0.5833333333333334,0.4838709677419355,0.5111111111111111,0.569620253164557,0.35526315789473684,0.3950617283950617,0.4788732394366197,0.4810126582278481,0.47297297297297297,0.3655913978494624,0.4878048780487805,0.5,0.6865671641791045,0.49295774647887325,0.38028169014084506,0.19402985074626866,0.35714285714285715,0.4,0.547945205479452,0.4383561643835616,0.4111111111111111,0.39759036144578314,0.45,0.6376811594202898,0.3625,0.4489795918367347,0.47297297297297297,0.44047619047619047,0.2857142857142857,0.4177215189873418,0.41975308641975306,0.4605263157894737,0.39759036144578314,0.7424242424242424,1.0,0.68,0.5,0.4222222222222222,0.2711864406779661,0.4606741573033708,0.4470588235294118,0.5060240963855421,0.47297297297297297,0.8727272727272727,0.5063291139240507,0.375,0.5,0.5106382978723404
Caspofungin,0.3333333333333333,0.5945945945945946,0.5384615384615384,0.5675675675675675,0.5128205128205128,0.8611111111111112,0.5769230769230769,0.39805825242718446,0.5384615384615384,1.0,0.5,0.5408163265306123,0.5,0.48936170212765956,0.5697674418604651,0.49473684210526314,0.48484848484848486,0.5353535353535354,0.47058823529411764,0.4838709677419355,0.40963855421686746,0.5119047619047619,0.5256410256410257,0.6794871794871795,0.782608695652174,0.41,0.7662337662337663,0.5063291139240507,0.6282051282051282,0.5384615384615384,0.36585365853658536,0.20512820512820512,0.4155844155844156,0.5454545454545454,0.6075949367088608,0.3522727272727273,0.532608695652174,0.5116279069767442,0.5476190476190477,0.5875,0.4642857142857143,0.6774193548387096,0.5375,0.5697674418604651,0.4675324675324675,0.46511627906976744,0.5542168674698795,0.47058823529411764,0.5116279069767442,0.4659090909090909,0.5384615384615384,0.6666666666666666,0.8115942028985508,0.5434782608695652,0.2361111111111111,0.6179775280898876,0.7125,0.6352941176470588,0.5569620253164557,0.5,0.6419753086419753,0.527027027027027,0.611764705882353,0.4444444444444444
